retinal_trait	retinal_domain	systemic_disease	admit_phase1b	admission_reason	p	rg	q_global	q_within_retinal_domain	qc_flag
ret_art_tort	microvasculature	sys_ckd_wuttke2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2143	-0.0695	0.6848390243902439	0.5399692307692308	PASS
ret_art_tort	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.86	-0.0126	0.944313725490196	0.9261538461538461	PASS
ret_art_tort	microvasculature	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.2275	-0.0586	0.6848390243902439	0.5399692307692308	RATIO_NEGATIVE
ret_art_tort	microvasculature	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.8462	-0.0131	0.9402455445544554	0.9261538461538461	PASS
ret_art_tort	microvasculature	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.2507	-0.0453	0.6848390243902439	0.5399692307692308	PASS
ret_ven_tort	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.5662	-0.0261	0.8027139240506329	0.7961560975609755	RATIO_NEGATIVE
ret_ven_tort	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.5184	-0.0467	0.7876842105263158	0.7639578947368421	PASS
ret_ven_tort	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.1276	-0.0758	0.571648	0.39697777777777776	PASS
ret_ven_tort	microvasculature	sys_ckd_wuttke2019	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0388	-0.1516	0.3428923076923077	0.22288000000000002	PASS
ret_ven_tort	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.0504	-0.153	0.3528	0.2565818181818182	PASS
ret_ven_tort	microvasculature	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.0851	0.08	0.5016421052631579	0.3404	RATIO_NEGATIVE
ret_ven_tort	microvasculature	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.1143	-0.1058	0.5646666666666667	0.39697777777777776	PASS
ret_ven_tort	microvasculature	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.174	0.0519	0.6848390243902439	0.48719999999999997	PASS
ret_crae	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.3485	-0.054	0.7506153846153846	0.6729655172413792	RATIO_NEGATIVE
ret_crae	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.9518	0.0053	0.9872144144144145	0.9708363636363636	RATIO_NEGATIVE
ret_crae	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.6268	0.0253	0.8357333333333333	0.8357333333333333	RATIO_NEGATIVE
ret_crae	microvasculature	sys_ckd_wuttke2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.9884	0.0012	0.9883999999999998	0.9883999999999998	RATIO_NEGATIVE
ret_crae	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.517	-0.0663	0.7876842105263158	0.7639578947368421	RATIO_NEGATIVE
ret_crae	microvasculature	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.2079	-0.0817	0.6848390243902439	0.5399692307692308	RATIO_NEGATIVE
ret_crae	microvasculature	sys_sle_bentham2015	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0276	-0.1678	0.2810181818181818	0.19319999999999998	RATIO_NEGATIVE
ret_crae	microvasculature	sys_ibd_delange2017	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0073	0.1554	0.16352	0.1022	RATIO_NEGATIVE
ret_crve	microvasculature	sys_cad_nikpay2015	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0061	-0.1376	0.16352	0.1022	RATIO_NEGATIVE
ret_crve	microvasculature	sys_stroke_megastroke2018	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0065	-0.2034	0.16352	0.1022	PASS
ret_crve	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.0832	-0.1123	0.5016421052631579	0.3404	PASS
ret_crve	microvasculature	sys_ckd_wuttke2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.9535	0.006	0.9872144144144145	0.9708363636363636	PASS
ret_crve	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.8479	-0.0192	0.9402455445544554	0.9261538461538461	PASS
ret_crve	microvasculature	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.4927	0.0512	0.7876842105263158	0.7639578947368421	RATIO_NEGATIVE
ret_crve	microvasculature	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.2363	-0.1902	0.6848390243902439	0.5399692307692308	PASS
ret_crve	microvasculature	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.1037	0.0821	0.5646666666666667	0.38714666666666664	PASS
ret_avr	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.1491	0.1006	0.6422769230769231	0.4394526315789474	RATIO_NEGATIVE
ret_avr	microvasculature	sys_stroke_megastroke2018	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0196	0.2378	0.24391111111111108	0.176	RATIO_NEGATIVE
ret_avr	microvasculature	sys_t2d_scott2017	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0159	0.1589	0.22260000000000002	0.176	RATIO_NEGATIVE
ret_avr	microvasculature	sys_ckd_wuttke2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.5829	-0.0589	0.805985185185185	0.7961560975609755	RATIO_NEGATIVE
ret_avr	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.7197	-0.0371	0.8956266666666668	0.8737166666666667	RATIO_NEGATIVE
ret_avr	microvasculature	sys_pd_nalls2019_clinical	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.022	-0.1755	0.2464	0.176	RATIO_NEGATIVE
ret_avr	microvasculature	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.679	0.0674	0.8730966292134832	0.8633955555555556	RATIO_NEGATIVE
ret_avr	microvasculature	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.2506	0.0758	0.6848390243902439	0.5399692307692308	RATIO_NEGATIVE
ret_art_density	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4568	0.0337	0.7807757575757576	0.7523764705882353	RATIO_NEGATIVE
ret_art_density	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.0751	0.1316	0.4947764705882354	0.3404	PASS
ret_art_density	microvasculature	sys_t2d_scott2017	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.004	0.1636	0.16352	0.1022	PASS
ret_art_density	microvasculature	sys_ckd_wuttke2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4238	-0.0584	0.7794098360655737	0.742875	PASS
ret_art_density	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.8291	-0.0196	0.9402455445544554	0.9261538461538461	PASS
ret_art_density	microvasculature	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.877	-0.009	0.953631067961165	0.9266415094339623	RATIO_NEGATIVE
ret_art_density	microvasculature	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.5811	-0.0361	0.805985185185185	0.7961560975609755	PASS
ret_art_density	microvasculature	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.3282	0.0428	0.7394196078431372	0.6564	PASS
ret_ven_density	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4245	-0.0397	0.7794098360655737	0.742875	RATIO_NEGATIVE
ret_ven_density	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4963	0.0563	0.7876842105263158	0.7639578947368421	PASS
ret_ven_density	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.121	0.0945	0.5646666666666667	0.39697777777777776	PASS
ret_ven_density	microvasculature	sys_ckd_wuttke2019	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0398	-0.1585	0.3428923076923077	0.22288000000000002	PASS
ret_ven_density	microvasculature	sys_ad_kunkle2019	FALSE	NO_PREDEFINED_CRITERION	0.7489	0.0324	0.9020215053763442	0.8737166666666667	PASS
ret_ven_density	microvasculature	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.6938	-0.0257	0.8730966292134832	0.8633955555555556	RATIO_NEGATIVE
ret_ven_density	microvasculature	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.4383	-0.0611	0.7807757575757576	0.7437818181818182	PASS
ret_ven_density	microvasculature	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.4035	0.044	0.7794098360655737	0.742875	PASS
