retinal_trait	disease	direction	status	reason
ret_avr	sys_cad_nikpay2015	ret_avr_to_sys_cad_nikpay2015	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_stroke_megastroke2018	ret_avr_to_sys_stroke_megastroke2018	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_t2d_scott2017	ret_avr_to_sys_t2d_scott2017	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_t2d_scott2017	sys_t2d_scott2017_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_ckd_wuttke2019	ret_avr_to_sys_ckd_wuttke2019	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_ad_kunkle2019	ret_avr_to_sys_ad_kunkle2019	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_pd_nalls2019_clinical	ret_avr_to_sys_pd_nalls2019_clinical	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_sle_bentham2015	ret_avr_to_sys_sle_bentham2015	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_sle_bentham2015	sys_sle_bentham2015_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_ibd_delange2017	ret_avr_to_sys_ibd_delange2017	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	sys_ibd_delange2017	sys_ibd_delange2017_to_ret_avr	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_cad_nikpay2015	ret_art_density_to_sys_cad_nikpay2015	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_art_density	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_stroke_megastroke2018	ret_art_density_to_sys_stroke_megastroke2018	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_art_density	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_t2d_scott2017	ret_art_density_to_sys_t2d_scott2017	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_t2d_scott2017	sys_t2d_scott2017_to_ret_art_density	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_ckd_wuttke2019	ret_art_density_to_sys_ckd_wuttke2019	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_art_density	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
