exposure	outcome	n_iv_final	method	beta	se	ci_low	ci_high	OR	p	q_amendment004_global	heterogeneity_Q	heterogeneity_p	egger_intercept	egger_p	weighted_median	weighted_median_p	weighted_mode	weighted_mode_p	egger_beta	steiger_direction	steiger_p	variance_explained_exposure	variance_explained_outcome	presso_status	loo_status	loo_beta_min	loo_beta_max	evidence_status	pair_id	direction	retinal_trait	disease	n_iv_initial	frequency_semantics	mean_F	min_F	effect_scale	multiple_testing_family
ret_gcipl_left	sys_t2d_scott2017	24	IVW_random_effects	0.0619780091362058	0.0634163577778353	-0.0623157681390544	0.1862717864114662	1.063938947534292	0.3284112670166028	0.9627805128788594	28.28839613774152	0.2050720701360383	-0.0005301786549786	0.8853083206398119	0.104042525017498	0.0559732243130594	0.1018039015769722	0.0614670287407836	0.0712132762497523	True	5.242857510987743e-90	0.0272716760061017	0.0029683730976235	COMPUTED_NO_OUTLIER	COMPUTED	0.0420348504771521	0.0797137339989946	NULL	ret_gcipl_left__sys_t2d_scott2017	ret_gcipl_left_to_sys_t2d_scott2017	ret_gcipl_left	sys_t2d_scott2017	34	EFFECT_ALLELE	58.953257130460116	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_t2d_scott2017	ret_gcipl_left	28	IVW_random_effects	-0.0092513526168878	0.01894610064549	-0.0463850275295184	0.0278823222957426	NA	0.6253384204121761	0.9627805128788594	54.513801292986585	0.0013158269275453	0.0014061607801336	0.4856688421817582	-0.0360795294117647	0.0029031940362877	-0.0337604007625888	0.0053297364622315	-0.0184620418232563	NA	NA	NA	NA	COMPUTED_NO_OUTLIER	COMPUTED	-0.0156176118792012	-0.0024977537763141	NULL	ret_gcipl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_gcipl_left	ret_gcipl_left	sys_t2d_scott2017	40	UNKNOWN	65.4337237404373	30.617777777777786	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_gcipl_left	sys_ckd_wuttke2019	31	IVW_random_effects	-0.0300582167191708	0.0342628260572668	-0.0972121217999724	0.0370956883616308	0.9703890390378896	0.3803325966780352	0.9627805128788594	21.669404548211805	0.8657966772183425	0.0021158436426386	0.2281581029517776	-0.0034914209967075	0.9188351459693772	0.0104428887023674	0.7605278333383738	-0.0327936219757285	True	6.894901231387762e-236	0.0400817812719547	0.001185047896362	COMPUTED_NO_OUTLIER	COMPUTED	-0.0400249676592824	-0.0146774699108216	NULL	ret_gcipl_left__sys_ckd_wuttke2019	ret_gcipl_left_to_sys_ckd_wuttke2019	ret_gcipl_left	sys_ckd_wuttke2019	34	EFFECT_ALLELE	67.10775919108147	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_ckd_wuttke2019	ret_gcipl_left	16	IVW_random_effects	0.0058905770174611	0.0274730322889791	-0.0479555768150424	0.0597367308499647	NA	0.8302249553231605	0.9627805128788594	24.30637586572192	0.0600700112564968	0.0015336200559471	0.5849054458568583	0.0140597228430934	0.4777278027420295	0.0358921876683879	0.0699217577156909	0.0131652911655251	True	0.0	0.050369252914	0.0004842361864844	COMPUTED_NO_OUTLIER	COMPUTED	-0.0035851298035174	0.0205866702528339	NULL	ret_gcipl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_gcipl_left	ret_gcipl_left	sys_ckd_wuttke2019	23	EFFECT_ALLELE	67.41229033728953	29.56640625000001	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_gcipl_left	sys_ad_kunkle2019	30	IVW_random_effects	0.0946178428780468	0.0610708164164537	-0.0250787578046567	0.2143144435607504	1.0992386929519948	0.1213063660205424	0.9627805128788594	32.50492492204309	0.2981532717307413	-0.0001774209043088	0.9597188458818536	0.0728000728000728	0.1931075530924528	0.0334193560717002	0.5502169173615337	0.0934836379210184	True	1.1842760932126801e-96	0.0356249528209829	0.0040752928403374	COMPUTED_NO_OUTLIER	COMPUTED	0.0678063459795926	0.1204745313241869	NULL	ret_gcipl_left__sys_ad_kunkle2019	ret_gcipl_left_to_sys_ad_kunkle2019	ret_gcipl_left	sys_ad_kunkle2019	34	EFFECT_ALLELE	61.6870836373318	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_ad_kunkle2019	ret_gcipl_left	18	IVW_random_effects	0.0025403605655998	0.0107003358752199	-0.0184319123723125	0.0235126335035122	NA	0.8123391802135681	0.9627805128788594	18.73696089439944	0.3438376295671614	-0.0009354931819504	0.6394066481852883	-0.0065979902620946	0.3839245828551374	-0.006262665975332	0.4085558761278037	-0.0010066561657197	True	0.0	0.3346634975276982	0.0004024580443191	COMPUTED_NO_OUTLIER	COMPUTED	-0.0034044345928874	0.0096717602763232	NULL	ret_gcipl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_gcipl_left	ret_gcipl_left	sys_ad_kunkle2019	19	UNKNOWN	201.459973137048	30.46466520492495	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_gcipl_left	sys_pd_nalls2019_clinical	26	IVW_random_effects	0.0670050143803783	0.1153117105163671	-0.1590017852274035	0.2930118139881602	1.069300840042308	0.5611883746292661	0.9627805128788594	35.470749024448196	0.0800229465745405	0.0092790226724458	0.1735335933286468	-0.115677260443363	0.1859882260797607	-0.0978614977787182	0.2632030551830299	-0.0135314612723796	True	3.7398933430153005e-20	0.0325868936630044	0.0127980338415855	COMPUTED_NO_OUTLIER	COMPUTED	0.0071287423076246	0.1105306693856585	NULL	ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left_to_sys_pd_nalls2019_clinical	ret_gcipl_left	sys_pd_nalls2019_clinical	34	EFFECT_ALLELE	65.2023357100773	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_pd_nalls2019_clinical	ret_gcipl_left	10	IVW_random_effects	0.0056014221349291	0.0274065093778074	-0.0481143491875312	0.0593171934573895	NA	0.8380542842933781	0.9627805128788594	33.21481354619555	0.0001225248545537	-0.001741202353039	0.7580964773359776	0.0269052390057361	0.0481695797262275	0.0163122123805155	0.2309412735976085	-0.0007389696033132	True	0.0	0.1236095278382324	0.0008329103980367	COMPUTED_NO_OUTLIER	COMPUTED	-0.0124874140667072	0.0245309220654849	NULL	ret_gcipl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_gcipl_left	ret_gcipl_left	sys_pd_nalls2019_clinical	15	EFFECT_ALLELE	57.90051221977404	31.768595041322307	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_gcipl_left	sys_sle_bentham2015	27	IVW_random_effects	0.2396598718081074	0.1628372579759263	-0.0794952891659569	0.5588150327821719	1.2708168361717438	0.1410815365148154	0.9627805128788594	46.9918828665093	0.007050842621939	0.0014111263864761	0.8896875537586039	0.0602816534990554	0.58142785327885	0.0885909591360385	0.4178250082647006	0.2108806900065418	True	0.1163493880444533	0.0315424764795747	0.0264727449399059	COMPUTED_NO_OUTLIER	COMPUTED	0.1311934529452867	0.2854438311358537	NULL	ret_gcipl_left__sys_sle_bentham2015	ret_gcipl_left_to_sys_sle_bentham2015	ret_gcipl_left	sys_sle_bentham2015	34	EFFECT_ALLELE	60.62611504127829	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_sle_bentham2015	ret_gcipl_left	28	IVW_random_effects	0.0009550724533874	0.00461074930498	-0.0080818301261162	0.0099919750328911	NA	0.8359002119391328	0.9627805128788594	29.611707320878686	0.3318798241168709	0.0030580488390664	0.0720766747791247	-0.000797791151111	0.8509623611272185	0.0013305464149349	0.7540058231119463	-0.0002709183957301	True	0.0	0.999998000001	0.0006167396262719	COMPUTED_NO_OUTLIER	COMPUTED	-0.0007518472907866	0.002873545614072	NULL	ret_gcipl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_gcipl_left	ret_gcipl_left	sys_sle_bentham2015	43	UNKNOWN	104.28994117494138	29.960511751951863	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
