retinal_trait	retinal_domain	systemic_disease	rg	se	z	p	q_global	q_within_retinal_domain	n_snps	valid_alleles	retinal_h2	retinal_h2_se	retinal_h2_z	disease_h2	disease_h2_se	disease_h2_z	ldsc_intercept	gencov_intercept_se	retinal_mean_chi2	retinal_ratio	retinal_ldsc_intercept	retinal_ldsc_intercept_se	disease_mean_chi2	disease_ratio	disease_ldsc_intercept	disease_ldsc_intercept_se	qc_flag
ret_inl_elm_left	neuroretina	sys_sle_bentham2015	-0.0038	0.057	-0.0665	0.947	0.9872144144144145	0.9778	919544	819644	0.2928	0.0517	5.663442940038684	0.3707	0.0653	5.67687595712098	-0.0005	0.0066	1.4118	0.1655	1.0682	0.0106	1.3539	0.6219	1.2201	0.0089	PASS
ret_inl_elm_left	neuroretina	sys_ibd_delange2017	-0.0415	0.0379	-1.0938	0.2741	0.70112	0.8099047619047619	919544	892923	0.2928	0.0517	5.663442940038684	0.2137	0.0228	9.37280701754386	0.0068	0.006	1.4118	0.1655	1.0682	0.0106	1.4985	0.3731	1.186	0.0105	PASS
ret_elm_isos_left	outer_retina	sys_cad_nikpay2015	-0.0713	0.0543	-1.3135	0.189	0.6848390243902439	0.7001684210526316	919545	918594	0.1273	0.0209	6.090909090909091	0.0463	0.0041	11.292682926829267	-0.0012	0.0049	1.1642	0.0569	1.0093	0.0095	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_elm_isos_left	outer_retina	sys_stroke_megastroke2018	-0.0597	0.0709	-0.8418	0.3999	0.7794098360655737	0.7001684210526316	919545	919171	0.1273	0.0209	6.090909090909091	0.0083	0.0011	7.545454545454545	-0.0063	0.0055	1.1642	0.0569	1.0093	0.0095	1.1404	0.3338	1.0469	0.0068	PASS
ret_elm_isos_left	outer_retina	sys_t2d_scott2017	-0.0374	0.0602	-0.6212	0.5345	0.7876842105263158	0.7001684210526316	919545	919277	0.1273	0.0209	6.090909090909091	0.0551	0.0046	11.978260869565219	-0.0024	0.0053	1.1642	0.0569	1.0093	0.0095	1.2309	0.133	1.0307	0.0087	PASS
ret_elm_isos_left	outer_retina	sys_ckd_wuttke2019	-0.2118	0.0852	-2.4844	0.013	0.216	0.312	919545	916999	0.1273	0.0209	6.090909090909091	0.0096	0.0015	6.3999999999999995	0.0026	0.0055	1.1642	0.0569	1.0093	0.0095	1.1963	0.4639	1.0911	0.0077	PASS
ret_elm_isos_left	outer_retina	sys_ad_kunkle2019	-0.0776	0.0942	-0.8235	0.4102	0.7794098360655737	0.7001684210526316	919545	919271	0.1273	0.0209	6.090909090909091	0.0553	0.0099	5.585858585858586	-0.0036	0.005	1.1642	0.0569	1.0093	0.0095	1.1182	0.3241	1.0383	0.0076	PASS
ret_elm_isos_left	outer_retina	sys_pd_nalls2019_clinical	0.0163	0.0732	0.2231	0.8234	0.9402455445544554	0.8592000000000001	919545	918812	0.1273	0.0209	6.090909090909091	0.164	0.018	9.111111111111112	-0.0038	0.0055	1.1642	0.0569	1.0093	0.0095	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
ret_elm_isos_left	outer_retina	sys_sle_bentham2015	0.0986	0.1316	0.7491	0.4538	0.7807757575757576	0.7001684210526316	919545	819645	0.1273	0.0209	6.090909090909091	0.3707	0.0653	5.67687595712098	-0.0084	0.0076	1.1642	0.0569	1.0093	0.0095	1.3539	0.6219	1.2201	0.0089	PASS
ret_elm_isos_left	outer_retina	sys_ibd_delange2017	0.0218	0.0547	0.3982	0.6905	0.8730966292134832	0.7891428571428571	919545	892923	0.1273	0.0209	6.090909090909091	0.2137	0.0228	9.37280701754386	0.0018	0.0056	1.1642	0.0569	1.0093	0.0095	1.4985	0.3731	1.186	0.0105	PASS
