pair_id	direction	n_iv_final	heterogeneity_Q	heterogeneity_p	egger_intercept	egger_p	weighted_median	weighted_median_p	weighted_mode	weighted_mode_p	loo_status	loo_beta_min	loo_beta_max	presso_status	steiger_direction	steiger_p	variance_explained_exposure	variance_explained_outcome
ret_gcipl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_gcipl_left	28	29.611707320878686	0.3318798241168709	0.0030580488390664	0.0720766747791247	-0.000797791151111	0.8509623611272185	0.0013305464149349	0.7540058231119463	COMPUTED	-0.0007518472907866	0.002873545614072	COMPUTED_NO_OUTLIER	True	0.0	0.999998000001	0.0006167396262719
ret_gcipl_left__sys_ibd_delange2017	ret_gcipl_left_to_sys_ibd_delange2017	21	26.8980775478754	0.1381559385835973	0.0049007419871333	0.1990574063956711	-0.0674972036872758	0.2856876206838792	-0.0891546795453304	0.158482300853062	COMPUTED	-0.040665479554499	0.0374906845184685	COMPUTED_NO_OUTLIER	True	8.33383146154482e-57	0.020820298370078	0.0023695011320408
ret_gcipl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_gcipl_left	90	117.11023554701228	0.0245604931556975	0.0013602458819817	0.1301791841454046	0.013225625	0.0338299258703165	0.0058306381441006	0.3495079214564917	COMPUTED	0.001343569591404	0.0051503916439812	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_inl_left__sys_cad_nikpay2015	ret_inl_left_to_sys_cad_nikpay2015	59	81.487570236505	0.0226961561526065	0.0027470686952851	0.1772780369700253	-0.0103532833242114	0.6762200401157423	0.0267878728520098	0.279893387130533	COMPUTED	0.0254365892855356	0.0454992317428381	COMPUTED_NO_OUTLIER	True	0.0	0.0794326146865621	0.0050130500253646
ret_inl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_inl_left	30	53.538106587446904	0.0036548727986139	-0.0003082749986341	0.8987065875170767	-0.0434192034512271	0.002328189940599	-0.0407651662055962	0.0042537627356771	COMPUTED	-0.0310286833270592	-0.0087764143852639	COMPUTED_NO_OUTLIER	True	0.0	0.0961566686599282	0.0013803765437545
ret_inl_left__sys_stroke_megastroke2018	ret_inl_left_to_sys_stroke_megastroke2018	60	56.91005634581655	0.5529473432022427	0.0018188527978924	0.2668226845097066	-0.0096584140884066	0.7118251657888147	-0.0012540201020107	0.9617460630238648	COMPUTED	0.0163729534624637	0.0409541293233727	COMPUTED_NO_OUTLIER	True	0.0	0.0804588520778949	0.0032175426055848
ret_inl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_inl_left	7	6.5392237843171825	0.3655657748952263	-0.021848845951856	0.4292659817278126	0.0029944260027662	0.9412325764452852	-0.0182151262244206	0.6538326368688556	COMPUTED	-0.0199119867154486	0.0305715347782333	COMPUTED_NO_OUTLIER	True	6.846967508472252e-82	0.0126013954123037	0.0001388749427355
ret_inl_left__sys_t2d_scott2017	ret_inl_left_to_sys_t2d_scott2017	54	94.44640562662904	0.0004016121212669	-0.0016617385909978	0.5805882794771002	0.0042926284837363	0.8967736392620261	0.029946133387098	0.3654252025538043	COMPUTED	-0.0277353665400882	0.0050215574326278	COMPUTED_NO_OUTLIER	True	5.002196004498201e-242	0.0754598557820616	0.0092899284628887
ret_inl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_inl_left	28	69.46933936139985	1.3348559222747802e-05	-0.000784336644151	0.7585307751047331	-0.03959	0.0013632759792838	-0.0338072716693654	0.0062462178259609	COMPUTED	-0.0474265267499643	-0.0278730944827024	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_inl_left__sys_ckd_wuttke2019	ret_inl_left_to_sys_ckd_wuttke2019	59	81.61363543882103	0.0221971994133979	0.0016281874193849	0.4182554849075107	-0.0186302135488228	0.447652165920595	-0.0207390082050318	0.3979512719878976	COMPUTED	-0.0789648385962437	-0.041221415435936	COMPUTED_NO_OUTLIER	True	0.0	0.0796054773447916	0.0048149789543205
ret_inl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_inl_left	16	35.80089833275294	0.0018885172457955	-0.000302381774993	0.9322227986005296	0.0821957979436745	4.6015044509493265e-05	0.0605967299332317	0.0026629252368738	COMPUTED	-0.0249109059228205	0.0041215147300527	COMPUTED_NO_OUTLIER	True	0.0	0.050369252914	0.0007851339758112
ret_inl_left__sys_ad_kunkle2019	ret_inl_left_to_sys_ad_kunkle2019	60	68.76534125846456	0.1802818231110268	-0.0035597724846275	0.1603888214325156	-0.0753892877456188	0.0419919072858106	-0.0436504516257496	0.239013527443458	COMPUTED	-0.0366884425702257	-0.0128708024760064	COMPUTED_NO_OUTLIER	True	3.8585001957306665e-237	0.0804588520778949	0.0082627484182862
ret_inl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_inl_left	18	19.260804983175905	0.3137692312353058	-0.0040657647881985	0.0264640791439333	0.0335260540764529	1.2735878204730095e-05	0.0287504394237921	0.0001819228472104	COMPUTED	0.0132198432067924	0.029838396903888	COMPUTED_NO_OUTLIER	True	0.0	0.3346634975276982	0.000683008282489
ret_inl_left__sys_pd_nalls2019_clinical	ret_inl_left_to_sys_pd_nalls2019_clinical	57	56.3744426265684	0.460840932608838	0.0020265060823713	0.6048893145921094	0.0099267033686402	0.8602241675976804	-0.0007494400389598	0.9893930410470584	COMPUTED	0.032484356323665	0.0713204642576268	COMPUTED_NO_OUTLIER	True	6.390567664729175e-89	0.0779993402511381	0.0185324391158622
ret_inl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_inl_left	10	15.35720549419086	0.0815799606887397	-0.0015812745008001	0.6536571952550966	-0.020359464627151	0.1309458904926597	-0.0307461984255495	0.0225525845140454	COMPUTED	-0.0233943878252441	-0.0048998863446213	COMPUTED_NO_OUTLIER	True	0.0	0.1236095278382324	0.0003672380677468
ret_inl_left__sys_sle_bentham2015	ret_inl_left_to_sys_sle_bentham2015	54	67.87761676523795	0.0819883650216029	0.0007915503080068	0.8893234209919303	0.0266956710268184	0.7014475744343843	0.0913150118174903	0.189742004185504	COMPUTED	0.0447439734372555	0.0950377743738773	COMPUTED_NO_OUTLIER	True	2.0762279073743412e-21	0.0756981974798095	0.0350910367927593
ret_inl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_inl_left	28	34.24178038873118	0.1591308779805091	0.0020838542802067	0.2723340636191947	-0.0085046162128098	0.0480083220625217	-0.0104349736322806	0.0152622163017709	COMPUTED	-0.0017677136479994	0.0045493091579635	COMPUTED_NO_OUTLIER	True	0.0	0.999998000001	0.0007251838750072
ret_inl_left__sys_ibd_delange2017	ret_inl_left_to_sys_ibd_delange2017	49	73.17788199929639	0.0110863178125666	0.0041677899451513	0.1399098937099876	-0.0270972173035854	0.428267030506702	-0.0598968065039646	0.0799416921139248	COMPUTED	-0.0527487773008869	-0.0257068424553343	COMPUTED_NO_OUTLIER	True	1.1627521608481372e-210	0.0691212757961515	0.0065133473382575
ret_inl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_inl_left	90	106.186864372249	0.1033356558018543	0.0002642895806116	0.7629121849473568	-0.0088452721191851	0.1603280038514314	-0.0101752759123632	0.1062945345568031	COMPUTED	-0.0113144783274212	-0.0076100952273344	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_inl_elm_left__sys_cad_nikpay2015	ret_inl_elm_left_to_sys_cad_nikpay2015	77	164.59411346256917	1.7434739429944557e-08	0.0036376614125227	0.0824395416487267	0.0312389851476594	0.0937559074450332	0.028092086977004	0.1317889416849427	COMPUTED	0.0236414653755761	0.0424639093845409	COMPUTED_NO_OUTLIER	True	0.0	0.1321379512944653	0.0090512127502065
ret_inl_elm_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_inl_elm_left	30	41.74482182082418	0.0591932184219073	-0.0015558067345162	0.4133965319292916	-0.0212439955659563	0.1356101375386368	-0.0236516483294616	0.0966188025015158	COMPUTED	-0.0069843027197173	0.0141553368456038	COMPUTED_NO_OUTLIER	True	0.0	0.0961566686599282	0.0008743209525678
ret_inl_elm_left__sys_stroke_megastroke2018	ret_inl_elm_left_to_sys_stroke_megastroke2018	76	72.65401465527444	0.5552642166315518	0.000792440171532	0.5873554789319204	-0.0231527876647476	0.250871578111451	-0.0109873612771503	0.5858187787357204	COMPUTED	0.0028610511900385	0.0177825825771368	COMPUTED_NO_OUTLIER	True	0.0	0.1300422171434702	0.00405387304295
ret_inl_elm_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_inl_elm_left	7	7.622141420005009	0.2671132554281554	-0.0477882367838127	0.0441969479861086	0.0724450381679389	0.0783407953516645	0.1217892455360892	0.0030819209580821	COMPUTED	0.0574174333649351	0.122668675690816	COMPUTED_NO_OUTLIER	True	2.6744648722910286e-75	0.0126013954123037	0.0002584276135632
ret_inl_elm_left__sys_t2d_scott2017	ret_inl_elm_left_to_sys_t2d_scott2017	68	75.4244456529842	0.224713616379616	0.0029240671835007	0.142868694248867	-0.0794797188491336	0.0018243573358975	-0.0480940042197608	0.0592425744248568	COMPUTED	-0.0282660822918126	-0.0124113654090426	COMPUTED_NO_OUTLIER	True	0.0	0.1209602425936673	0.0067326178787599
ret_inl_elm_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_inl_elm_left	28	39.97491218199017	0.0515144242259018	-0.001375947924872	0.4160029444063251	-0.0767120224719101	3.9548149871685766e-10	-0.0805905713236722	4.9612823699214045e-11	COMPUTED	-0.0259950108843429	-0.010679720931152	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_inl_elm_left__sys_ckd_wuttke2019	ret_inl_elm_left_to_sys_ckd_wuttke2019	76	106.63157918907694	0.009595196785104	0.0017478150706317	0.3178900981066389	0.0262628636197137	0.1636045178488153	0.0172180103674925	0.3610910940011415	COMPUTED	-0.0258966724587558	-0.0072443212161414	COMPUTED_NO_OUTLIER	True	0.0	0.1300763667257709	0.0064061314864928
